firm_name,date_published
A. B. INDUSTRIES,09/16/2009
AABHAR INTERNATIONAL,09/16/2009
AAKASH GLOBAL FOODS PVT.LTD.,01/08/2013
ABHAYA EXPORTS (PVT) LTD.,01/26/2024
ABHAYA EXPORTS PVT. LTD.,09/07/2016
ADANI FOOD PRODUCTS PVT LTD,10/02/2009
ADARSH GLOBAL LIMITED,09/16/2009
ADF Foods Limited,09/16/2009
AG EXPORTS,09/16/2009
AGRONIC FOOD PVT. LTD,03/13/2019
AKSHAR IMPEX,01/08/2021
AMBE NS Agro Products Pvt Ltd,05/18/2026
ASIAN FOOD INDUSTRIES,09/16/2009
Abhaya Exports Pvt. Ltd.,07/22/2015
Amira Tanna Industries Private Limited,12/07/2010
Ancient Greenfields,05/13/2016
Anil & Company,09/16/2009
Anil & Company,10/19/2016
Anna Aluminium Company Pvt Ltd (Spices Division),10/31/2013
Arise Exports Pvt Ltd,09/16/2009
Aryan Food Ingredients Limited,04/03/2026
Atlantic Foods India Private Limited,09/16/2009
Authentic Overseas,07/01/2019
Avtar Singh & Co Private Ltd (Factory),09/16/2009
Avtar Singh & Co Pvt Ltd (Office),09/16/2009
B.C. Exports,09/16/2009
BADSHAH MASALA PRIVATE LIMITED,10/22/2024
BHRIGU FOODS LLP,02/12/2024
BIKAJI FOODS INTERNATIONAL LIMITED,06/27/2022
BIKANERVALA FOODS P LTD,02/02/2012
BIKANERVALA FOODS PVT. LTD.,07/31/2017
BVeg Foods Pvt. Ltd.,12/30/2024
Bafna Enterprises,04/20/2011
Balaji Wafers Pvt Ltd,02/13/2025
Bikaji Foods International Ltd.,09/09/2016
Brahmins Foods India Private Ltd,07/16/2013
Brahmins Foods India Pvt. Ltd.,10/30/2013
CHARMINAR FOODS & EXPORTS PVT LTD,03/20/2015
CM Tech & Traders,04/24/2017
CUCKU ENTERPRISES PVT. LTD.,11/19/2013
Charminar Foods & Exports Pvt Ltd.,10/17/2014
DAKSH FOODS PVT LTD,07/17/2013
DEMOLEN EXPORT PRIVATE LTD.,02/19/2016
DEMOLEN EXPORTS PVT LTD,09/16/2009
DIVINE GROCERIES PVT. LTD.,02/28/2018
Devi Exports Pvt Ltd,01/21/2011
Dharya Enterprise,12/05/2023
EVERGREEN EXPORTS,06/30/2014
EVERGREEN EXPORTS,09/13/2018
Eastern Condiments Pvt Ltd,09/16/2009
Eastern Condiments Pvt Ltd,03/16/2011
Eastern Condiments Pvt. Ltd,09/16/2009
EcoFarms (India) Ltd,07/18/2017
Empire Spices & Food Ltd,09/20/2010
Everest Food Products Private Limited,04/20/2023
Farmico Exports,12/22/2010
Frontal Agritech Private Limited,04/15/2014
G.R.K. and Company,09/16/2009
GRB DAIRY FOODS PVT LTD,10/29/2021
GREEN DOT HEALTH FOODS PVT. LTD,08/07/2018
Ganpati Scientifics,01/19/2022
Garden Valley Export Corporation,06/23/2010
Gate Foods Private Limited,12/22/2023
Gautam Export Corporation,09/16/2009
Gayatri Masala Exporter,09/16/2009
Geo-fresh Organic,09/16/2009
Ghanshyam Exporter,09/16/2009
Giriraj International,04/16/2012
Giriraj International,09/16/2009
Global Exports,09/16/2009
Golden Temple Foods Pvt.,09/16/2009
Grannys Spices INDIA LLP,12/10/2019
Green Fiesta Pvt. Ltd,09/16/2009
Green Vegetation Extracts (India) L,09/16/2009
Grover Sons,09/16/2009
Gsv International,09/16/2009
Gujarat Sesame Exports Co.,11/08/2010
H. S. Bajaj & Sons (Bombay) Pvt. Ltd.,09/16/2009
H.S. ENTERPRISES,09/16/2009
HALDIRAM SNACKS PVT LTD,03/13/2025
HALDIRAM SNACKS PVT. LTD.,01/10/2023
HAMRAZ FOOD PRODUCTS PVT. LTD.,05/16/2011
HARIHAR FOODS PVT LTD,03/10/2010
Haldiram Foods International Pvt. Ltd,12/05/2014
Macaroni/Noodle Products,12/23/2021
07 - - - --,12/23/2021
24 - - - --,12/23/2021
28 - - - --,12/23/2021
Haldiram Manufacturing Co. Pvt. Ltd.,10/27/2009
Haldiram Snacks Pvt. Ltd.,09/13/2024
Haldiram Snacks Pvt. Ltd.,11/17/2021
Haldiram Snacks Pvt. Ltd.,10/25/2023
Hanuman Industries,07/23/2012
Harihar Foods Pvt Ltd,08/19/2022
IMPROVA HERBAL PRODUCTS,07/16/2026
INFLUX HEALTHCARE,05/19/2026
ISHA LIFE PRIVATE LIMITED,06/10/2025
Ideal Trading Co,09/16/2009
Impex Diamonds,09/16/2009
Indexpo Enterprises,09/23/2010
Indica Exporters,09/16/2009
Indo Canadian Foods Pvt Ltd,09/16/2009
Indo Canadian Foods Pvt. Ltd.,09/16/2009
Innovative Cuisine Pvt Ltd,06/25/2025
Water Chestnut (Root & Tuber Vegetable),09/02/2025
Intergrow Brands Private Limited,11/03/2016
Iyengar & Company,09/16/2009
J R SHAH,09/19/2022
J.B. Spices,09/16/2009
JAFFERBHOY SALEHBHOY & CO,08/30/2010
JAYANTKUMAR & CO,09/16/2009
JKM Enterprise Private Limited,05/12/2017
Jalaram Gruh Udyog,07/27/2026
Jaldhara Super Market,04/03/2013
K-Pra Foods Private Limited,07/25/2018
K.B.Exports,09/16/2009
K.K. ENTERPRISE,08/23/2010
K.K.R. Food Products,09/16/2009
K.M. Ganatra & Co,09/16/2009
K.P.Overseas Manufacture & packing,03/22/2013
KEVAL EXPORTS PVT LTD,07/27/2026
KEVENTER GLOBAL PVT LTD,10/13/2020
KHYATI  ADVISORY SERVICES LTD,07/17/2024
KITCHEN XPRESS OVERSEAS LTD,09/16/2009
KRISHNA EXPORTS,09/16/2009
